epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2197.87,2.04108,2.825,2.50147,0.3829,0.2,0.20184,0.09987,4.27202,7.3533,4.5361,0.00165944,0.00165944,0.00165944
88,2222.05,2.64086,3.26439,2.97065,0.23029,0.35,0.19599,0.08336,4.58632,8.38451,4.835,0.00165548,0.00165548,0.00165548
89,2246.22,2.48819,3.8136,3.03356,0.18947,0.37434,0.11986,0.04301,4.96682,7.39439,5.42525,0.00165152,0.00165152,0.00165152
90,2270.55,2.36502,3.06784,2.80637,0.15256,0.3,0.14825,0.07446,4.73458,6.56118,5.59742,0.00164756,0.00164756,0.00164756
91,2295.53,2.47963,5.83347,3.08737,0.18379,0.22569,0.16464,0.06951,4.4937,6.13813,5.11824,0.0016436,0.0016436,0.0016436
92,2320.29,2.62621,3.19314,3.01096,0.49551,0.25,0.24572,0.06198,4.48685,6.0831,4.72277,0.00163964,0.00163964,0.00163964
93,2345.07,2.17578,3.63225,2.55861,0.31207,0.25,0.2065,0.09474,4.25613,5.69454,4.84351,0.00163568,0.00163568,0.00163568
94,2369.62,2.452,2.9395,2.80298,0.52736,0.35,0.34059,0.15181,3.79061,5.24081,4.14689,0.00163172,0.00163172,0.00163172
95,2394.34,2.507,3.45799,3.00683,0.64897,0.3,0.39593,0.16912,3.67329,4.9244,4.02405,0.00162776,0.00162776,0.00162776
96,2418.68,2.19653,2.76109,2.75316,0.5529,0.4,0.37617,0.10947,4.3409,5.53413,4.7323,0.0016238,0.0016238,0.0016238
97,2442.96,2.79435,3.15026,2.9492,0.63921,0.3,0.3311,0.0871,4.4169,5.97922,4.83287,0.00161984,0.00161984,0.00161984
98,2468.06,2.15501,2.65681,2.5794,0.28874,0.45,0.21548,0.0612,4.57837,6.14507,4.83553,0.00161588,0.00161588,0.00161588
99,2492.8,2.28155,3.02859,2.67571,0.18265,0.35,0.15093,0.05824,4.64414,6.23109,5.06834,0.00161192,0.00161192,0.00161192
100,2517.48,2.37353,3.11806,2.84384,0.23603,0.2,0.12449,0.04825,4.36013,6.17481,4.97353,0.00160796,0.00160796,0.00160796
101,2542.22,2.63048,3.41696,3.02053,0.47676,0.15,0.1741,0.06316,4.51698,6.39797,5.16437,0.001604,0.001604,0.001604
102,2566.64,2.59183,2.95171,2.95155,0.20084,0.15,0.07443,0.03224,4.36162,7.0376,4.75192,0.00160004,0.00160004,0.00160004
103,2591.08,2.514,3.00856,2.81732,0.3124,0.1,0.09265,0.04045,4.45837,7.11515,4.78303,0.00159608,0.00159608,0.00159608
104,2615.47,2.20499,2.69038,2.58623,0.35611,0.3,0.2734,0.13469,4.18605,5.65006,4.61229,0.00159212,0.00159212,0.00159212
105,2640.18,2.26758,2.64924,2.61445,0.41843,0.4,0.28241,0.10059,4.33492,5.62699,4.7324,0.00158816,0.00158816,0.00158816
106,2664.68,2.11032,2.64432,2.64531,0.37457,0.3,0.22766,0.07535,4.31494,6.37851,4.64132,0.0015842,0.0015842,0.0015842
107,2689.78,2.12993,2.6632,2.763,0.59077,0.28961,0.29421,0.08388,4.53719,6.30331,4.82838,0.00158024,0.00158024,0.00158024
108,2714.81,2.23161,2.69115,2.53236,0.34959,0.35,0.22291,0.06666,4.50634,5.8961,4.71887,0.00157628,0.00157628,0.00157628
109,2739.75,2.25366,5.96862,2.78291,0.19613,0.3,0.16201,0.05957,4.36717,5.79416,4.6983,0.00157232,0.00157232,0.00157232
110,2764.51,2.12517,2.6455,2.59729,0.5608,0.15,0.1908,0.09533,4.03826,5.99579,4.72819,0.00156836,0.00156836,0.00156836
