epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2531.83,1.2086,1.2494,2.10627,0.42928,0.35,0.28959,0.08326,4.59231,5.71464,4.85103,0.0004358,0.0004358,0.0004358
81,2561.61,1.44645,1.44632,2.2202,0.43403,0.4,0.31206,0.08752,4.79043,5.6541,4.99322,0.000416,0.000416,0.000416
82,2591.53,1.77713,1.7981,2.81496,0.47237,0.35,0.32381,0.09573,4.66392,5.68898,4.90278,0.0003962,0.0003962,0.0003962
83,2627.29,1.37276,1.42032,2.21408,0.64492,0.35,0.39304,0.10807,4.61385,5.68473,4.85581,0.0003764,0.0003764,0.0003764
84,2667.43,1.16762,1.20327,2.03854,0.67462,0.35,0.39514,0.12264,4.6141,5.65023,4.79087,0.0003566,0.0003566,0.0003566
85,2702.14,1.22802,1.25805,2.04681,0.67105,0.3,0.39675,0.13064,4.64898,5.4922,4.84753,0.0003368,0.0003368,0.0003368
86,2735.39,1.0642,1.14603,2.02205,1,0.29254,0.4332,0.12768,4.54636,5.1023,4.60347,0.000317,0.000317,0.000317
87,2766.98,1.15283,1.08443,1.99886,1,0.29844,0.44048,0.14367,4.46521,4.90849,4.44065,0.0002972,0.0002972,0.0002972
88,2800.62,1.55613,1.61984,2.36375,0.62903,0.45,0.52421,0.16254,4.33497,4.78825,4.29791,0.0002774,0.0002774,0.0002774
89,2832.15,1.35966,1.68226,2.34265,0.60194,0.45,0.5391,0.17382,4.24505,4.68303,4.21175,0.0002576,0.0002576,0.0002576
90,2863.57,1.21661,1.27779,2.15327,0.60565,0.45,0.53015,0.19586,4.07126,4.68076,4.06969,0.0002378,0.0002378,0.0002378
91,2895.95,1.03476,0.98673,1.97877,0.61579,0.48158,0.53887,0.19793,3.94726,4.55505,3.90516,0.000218,0.000218,0.000218
92,2927.14,0.91738,1.06217,1.90752,0.60047,0.5,0.54104,0.19962,3.71281,4.61018,3.85226,0.0001982,0.0001982,0.0001982
93,2958.24,0.92011,1.01063,1.96342,0.58583,0.5,0.54343,0.2086,3.75184,4.45795,3.81015,0.0001784,0.0001784,0.0001784
94,2990.56,0.83637,0.93374,1.78154,0.61497,0.47995,0.54547,0.21625,3.78943,4.35793,3.8444,0.0001586,0.0001586,0.0001586
95,3023.61,0.88764,0.9164,1.83533,0.58151,0.48694,0.53621,0.21134,3.78386,4.27577,3.84128,0.0001388,0.0001388,0.0001388
96,3055.81,1.11288,1.254,2.0894,0.65727,0.48026,0.55303,0.22109,3.71647,4.20884,3.77611,0.000119,0.000119,0.000119
97,3085.57,1.01775,1.01594,1.91683,0.57682,0.47782,0.54613,0.22619,3.67989,4.26452,3.76692,9.92e-05,9.92e-05,9.92e-05
98,3115.2,0.80409,0.80732,1.70505,0.57564,0.45,0.54563,0.22202,3.70588,4.25638,3.79656,7.94e-05,7.94e-05,7.94e-05
99,3144.92,1.12874,1.71897,2.05668,0.60125,0.5,0.55949,0.21764,3.71323,4.25694,3.79129,5.96e-05,5.96e-05,5.96e-05
100,3174.88,0.95539,0.85173,1.85813,0.63863,0.53089,0.56483,0.22041,3.6798,4.29516,3.77809,3.98e-05,3.98e-05,3.98e-05
